,Title,Body Copy,TBL Studio Link,Published tags,Editorial Feedback,Writer,Auto-Extracted Concepts,Suggested Revision Front End Tags,Suggested Revision Back End Tags,Related tags,Other Notes,url_slug,Image Location,TBL Image S3 Location
,Garden-Inspired Ceremony Decor,"Not wanting to detract from the setting’s innate beauty, the couple kept things simple when it came to the decor. The aisle was lined with ivory and blush rose petals and cascades of white ribbon, leading to a vine-covered wedding arch decorated with a garland of full pink florals.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDk5NzQ4,"5: aisle decorations, wedding arch, romantic, ceremony, rose petals","Classic + Romantic: the location in Italy alone creates a dreamy lure that will immediately appeal to brides. The combination of the colors, settings, and argueably rustic undertones create the Italian garden/villa dream. The body copy also implies an effortless connotation.",Libby MacCarthy,"""additional_terms"" : [
                ""decorations + accents"",
                ""candles"",
                ""natural"",
                ""red"",
                ""green"",
                ""greens"",
                ""leaves""
        ],
        ""concepts"" : [
                ""rose petals"",
                ""wedding arch"",
                ""garland"",
                ""ceremony"",
                ""ribbon"",
                ""beauty"", 
                ""ivory"", 
                ""white"", 
                ""pink"", 
                ""simple"", 
                ""blush""
        ]
","ceremony, garden, vineyard, arch, elegant, romantic, classic, neutrals, altar, blush","luxury, Italian, ribbon, travel, earth tones, green, pink, white, aisle decorations, plants, wedding arch, chairs, natural, historic venue, estaten, summer, greens. roses, rose petals, ","ruffles, wood, pastels, castle, mountain, trees",,https://www.theknot.com/real-weddings/garden-inspired-ceremony-decor-photo-2?page=1,https://apis.xogrp.com/media-api/images/f76cea17-0387-11e7-b589-12072ec58d1a~rs_729.h,c
,"Elegant, Intimate Reception With Flower Garlands at at La Maison des Centraliens","""The flowers were a combination of white hydrangeas and roses,"" says Morgan, who chose a stunning garland of blossoms to adorn the banquet table that seated Kevin and her and their 10 guests at the reception.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDk2MTIx,"4: centerpiece, reception, hydrangea, roses","Glam + Classic: Unfortunate that this isn't tied to a location or style, the historic ballroom lure really drives the tone of this image. Interestingly, not the same wedding as above, but I could imagine these being from the same wedding.",Carolyn Meers,"        ""additional_terms"" : [
                ""flower"",
                ""seated"",
                ""la"",
                ""stunning"",
                ""kevin"",
                ""chose"",
                ""adorn"",
                ""blossoms""
        ],
        ""concepts"" : [
                ""garland"",
                ""reception"",
                ""hydrangeas"",
                ""intimate"",
                ""roses"",
                ""tables"",
                ""elegant"",
                ""white"",
                ""guests""
        ]
","dining tables, roes, hydrangea, historic venue, glamorous, classic, neutrals, elegant, tablescape, garland, taupe","formal, luxury, regal, gold, white, taupe, ivory, blush,  candles, tall candles, chandeliers, seated meal, reception, linens, ","filigree, monogram, candelabras, calligraphy, castle, country club, estate",,https://www.theknot.com/real-weddings/elegant-intimate-reception-with-flower-garlands-at-at-la-maison-des-centraliens-photo?context=wedding-centerpieces-photos&page=1,https://apis.xogrp.com/media-api/images/64322b25-d467-11e6-b1e3-0e6345a2d5d3~rs_729.h,
,Scenic Outdoor Reception in Arizona,"The dinner reception was held outside at the Omni Scottsdale Resort & Spa at Montelucia in Scottsdale, Arizona, on the same lawn as the ceremony. Ivory table linens were contrasted with colorful centerpieces made with succulents and blush and crimson blossoms. String lights and tabletop candles added a romantic intimacy.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDkwMjAy,"2: hotel, centerpiece","Classic + Rustic: The entire album was defined as elegant, whimsical desert wedding, however, this image doesn't match that vibe. We should take caution that overall album tags might not always match the individual photo tags. Also, the bows on the chairs could quickly deter some couples that know they want a similar desert-backdrop setting.",Carolyn Meers,"        ""additional_terms"" : [
                ""lawn"",
                ""added"",
                ""arizona"",
                ""reception was held""
        ],
        ""concepts"" : [
                ""string lights"",
                ""succulents"",
                ""colorful"",
                ""resorts"",
                ""hotel"",
                ""linens"",
                ""candles"",
                ""blush"",
                ""centerpieces"",
                ""ivory"",
                ""reception"",
                ""romantic"",
                ""ceremony"",
                ""spas"",
                ""tables""
        ]
","reception, dining tables, classic, desert, mountain, cross-back chairs, candles, hotels + resorts","elegant, formal, luxury, traditional, bows, neutrals, string lights, black, garden",,,https://www.theknot.com/real-weddings/scenic-outdoor-reception-in-arizona-photo,https://apis.xogrp.com/media-api/images/1e588ee5-55aa-11e6-b1e3-0e6345a2d5d3~rs_729.h,
,Whiteface Lodge Kanu Ceremony,"“Our ceremony was simply magical,” Erica says. “A dear friend of ours, Yousef, performed the ceremony and made it very special.” Other close friends and family members brought a personalized feel to the proceedings by performing the readings, as well as a rendition of Phish’s “If I Could.” Erica and Janson wrote their own vows, sharing their sentiments in their own words, with Erica’s favorite line being, “As I give you my hand to hold, so I give you my life to keep.”",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDg0MTE2,"2: rustic, ceremony","Rustic is appropriate here, but within the ways to explain this knowing a couple has a rustic style, I would think ""classic rustic lodge""",Libby MacCarthy,"""additional_terms"" : [
                ""erica"",
                ""family members"",
                ""give"",
                ""words"",
                ""hand"",
                ""personalized"",
                ""wrote"",
                ""special"",
                ""sharing"",
                ""life"",
                ""performing"",
                ""favorite"",
                ""line"",
                ""made"",
                ""hold"",
                ""close"",
                ""brought""
        ],
        ""concepts"" : [
                ""ceremony"",
                ""readings"",
                ""personalization"",
                ""friends + family"",
                ""vows"",
                ""simple""
        ]
","rustic, hotels + resorts, wood, ceremony, lodge, vows",,,,https://www.theknot.com/real-weddings/whiteface-lodge-kanu-ceremony-photo,https://apis.xogrp.com/media-api/images/588816e0-af23-11e5-be52-22000aa61a3e~rs_729.h,
,Reception Feasting Table for 150 Guests,"The one long feasting table featured 150 seats, so all the guests could sit together.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDY3MDQy,"3: modern, backyard, reception","Classic + Romantic: the setting feels very specific for someone wanting a long table under the trees - which often gives more of an intimate perception. However, we know this couple described their wedding as modern, so it is tagged as modern, though the user might not feel that way",Stephanie Cain,"        ""additional_terms"" : [
                ""table"",
                ""seats"",
                ""sit""
        ],
        ""concepts"" : [
                ""guests"",
                ""tables"",
                ""reception""
        ]
","romantic, garden, long tables, tables, neutrals, natural, dining tables","classic, elegant, formal, luxury, linens, wood, white, green, string lights, seated meal, tablescapes, dining tables, cross-back chair, backyard, park, trees, summer, greens, seated meal",,,https://www.theknot.com/real-weddings/reception-feasting-table-for-150-guests-photo?context=modern-photos&page=1,https://apis.xogrp.com/media-api/images/a839f86e-5817-11e6-b1e3-0e6345a2d5d3~rs_729.h,
,Oceanfront Wedding Ceremony in Hawaii,"""The backdrop for the ceremony was the ocean, so we didn't need to do much decorating—it was already stunning,"" Kelley says. ""We had a bamboo arch that we decorated with a protea garland that set the stage, and we had a driftwood sign blocking the aisle saying 'Our forever starts here.' We invited friends and family up during the ceremony to give us marriage advice in lieu of formal readings, and this really was my favorite part.""",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDYzMzI3,4:  Wedding Arch   Beach   Waterfront   Ceremony,"We're missing capturing destination wedding, and specifically beach. But more importantly, this is a good photo for a couple that wants to rely on a stunning backdrop/setting to do the work. The caption captures this nicely, so ""effortless"" is a missing element for us here",Caroline Eubanks,"        ""additional_terms"" : [
                ""backdrop"",
                ""decorated"",
                ""stunning"",
                ""aisle"",
                ""invited"",
                ""ocean"",
                ""give"",
                ""set"",
                ""starts"",
                ""favorite part""
        ],
        ""concepts"" : [
                ""ceremony"",
                ""proteas"",
                ""readings"",
                ""garland"",
                ""backdrops"",
                ""formal"",
                ""signs"",
                ""stages"",
                ""friends + family"",
                ""wedding"",
                ""marriage""
        ]
","destination, Hawaii, beach, tropical, ceremony","Simple, Hawaiian, guests, wedding arch, altar, natural, waterfront, lawn, summer, pale blue, pink, protea, traditional",,,https://www.theknot.com/real-weddings/oceanfront-wedding-ceremony-in-hawaii-photo,https://apis.xogrp.com/media-api/images/4da95e86-48b2-11e6-af22-0e6345a2d5d3~rs_729.h,
,Brooklyn Winery Reception,"The reception also took place in the Brooklyn Winery atrium in Brooklyn, New York, under a canopy of ambient bistro lights and a glass dome that gave way to the night sky. The venue’s innate character let the couple go light on the decorations, with petite bundles of bright florals, votives and gilded accents bringing elements of polish and romance to the  venue.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NTEwNjk4,3:  Modern   Restaurant   Reception,"This photo really captures a particular Brooklyn vibe many boho couples gravitate towards, though modern still feels like a better primary tag. ""Brooklyn"" does imply ""urban,"" but we'd want to think how a photo like this can appeal to a couple in any market.",Libby MacCarthy,"        ""additional_terms"" : [
                ""venue’s"",
                ""elements"",
                ""light"",
                ""decorations"",
                ""accents"",
                ""romance"",
                ""venue"",
                ""place"",
                ""atrium"",
                ""gave""
        ],
        ""concepts"" : [
                ""decorations + accents"",
                ""string lights"",
                ""lighting"",
                ""reception"",
                ""glassware"",
                ""news"",
                ""colorful"",
                ""brights""
        ]
","industrial, reception, dining tables, modern, eclectic, loft","restaurant, string lights, wood, brown, chiavari chairs, garland, tablescapes, low centerpieces, plants, succulents, seated meal, alternative, bohemian, retro,",,,https://www.theknot.com/real-weddings/rustic-brooklyn-winery-reception-photo,https://apis.xogrp.com/media-api/images/6fd420fe-ce2a-11e6-b1e3-0e6345a2d5d3~rs_729.h,
,Minos Mare Open-Air Tented Reception,The reception took place on the beach only steps away from where the couple exchanged vows. An open-air tent allowed guests to profit from the breathtaking views of the Aegean Sea and the gentle sound of lapping waves while dining on dishes such as chicken souvlaki and poached salmon.,http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDk1ODMy,3:  Beach   Reception   Tented,"Very boho, should be tagged to this, as well as destination. This would be more of an ""indie"" example because it's a very unexpected approach. Other secondary could be eclectic, modern",Libby MacCarthy,"        ""additional_terms"" : [
                ""tent"",
                ""dining"",
                ""couple exchanged""
        ],
        ""concepts"" : [
                ""tented"",
                ""tents"",
                ""reception"",
                ""beach"",
                ""guests"",
                ""vows""
        ]
","bohemian, beach, reception, tent, neutrals, destination","Casual, Simple, folding chairs, travel, taupe, earth tones, brown, waterfront, uplighting, alternative, natural, retro, ",,,https://www.theknot.com/real-weddings/minos-mare-open-air-tented-reception-photo,https://apis.xogrp.com/media-api/images/584c1dab-d405-11e6-b1e3-0e6345a2d5d3~rs_729.h,
,"Colorful, Industrial-Chic Reception",A colorful wall of aqua and green stained-glass windows were inspiration for many of the event's accent colors.,http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDk1NzM5,3:  Simple   Modern   Reception,"Primarily eclectic with rustic and modern as secondary tags. Will appeal to the ""anti-bride,"" or someone looking for a very unrefinded space; industrial",Carolyn Meers,"        ""additional_terms"" : [
                ""accent"",
                ""inspiration"",
                ""wall""
        ],
        ""concepts"" : [
                ""colorful"",
                ""decorations + accents"",
                ""green"",
                ""greens"",
                ""color"",
                ""reception""
        ]
","industrial, reception, dining tables, modern, eclectic, long tables","bohemian, tall centerpieces, casual, white, neutrals, tablescape, seated meal, folding chairs, string lights, alternative, retro, historic venue, loft, rustic",antiques,"Colorful is a characteristic of the venue, not quite the style. I do not believe we should tag it as such - the inspiration of this idea could only be applied to this particular venue",https://www.theknot.com/real-weddings/colorful-industrial-chic-reception-photo,https://apis.xogrp.com/media-api/images/db0c10bd-d394-11e6-b1e3-0e6345a2d5d3~rs_729.h,
,Blooming Hill Farm Outdoor Ceremony,"The rolling hills, green pastures and vegetable-studded fields of Blooming Hill Farm in Blooming Grove, New York, offered the perfect backdrop for Michele and David’s ceremony. The couple gathered their families and friends outdoors for their “I dos,” exchanging vows along the forest edge overlooking the serene landscape.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDk0NTYw,2:  Farm + Ranch   Ceremony,"Rustic setting; could belong to a boho or romantic couple too. This photo does a good job of clearly setting the stage for how the couple envisions their wedding, without too many other factors to distract the secondary tags. Rustic can be approached from many different angles, but I like that this is ""middle of nowhere farm with a reception under the stars"" type setting",Libby MacCarthy,"        ""additional_terms"" : [
                ""farm"",
                ""hill"",
                ""fields"",
                ""blooming"",
                ""rolling"",
                ""offered"",
                ""outdoor"",
                ""landscape"",
                ""overlooking"",
                ""forest"",
                ""exchanging""
        ],
        ""concepts"" : [
                ""backdrops"",
                ""ceremony"",
                ""friends + family"",
                ""vows"",
                ""green"",
                ""news"",
                ""greens""
        ]
","ceremony, garden, green, trees, rustic, farm + ranch","casual, summer, earth tones, altar, country, natural, romantic","birds, burlap, butterfly, wood, plants, bohemian, backyard, barn, estate",,https://www.theknot.com/real-weddings/blooming-hill-farm-outdoor-ceremony-photo?page=1,https://apis.xogrp.com/media-api/images/ed8d9318-8b31-11e6-b1e3-0e6345a2d5d3~rs_729.h,
