Image,Title,Body Copy,TBL Studio Link,Editorial Feedback,Published tags,Writer,Auto-Extracted Concepts,Suggested Revision Front End Tags,Suggested Revision Back End Tags,Other Related Tags,Notes,url_slug,Image Location,TBL Image S3 Location
,Greenery Chandelier,"The rustic reception hall at Castle Hill Cider in Keswick, Virginia, was decorated with lush “chandeliers” of greenery and love-lies-bleeding.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDg1Mjg2,"Rustic: with the wooden backdrop of this shot, the photo immediately speaks to rustic, though could have backup tags to romantic, boho, and electic. ","3: chandeliers, flower arrangements, reception",Marissa Hermanson,"""additional_terms"" : [
                ""decorations + accents"",
                ""country"",
                ""country club"",
                ""inns"",
                ""roses"",
                ""natural"",
                ""white"",
                ""elegant""
        ],
        ""concepts"" : [
                ""chandeliers"",
                ""leaves"",
                ""rustic"",
                ""castle"",
                ""reception"",
        ]","floral chandelier, rustic, bohemian, euctalyptus, greens, love-lies-bleeding","green, red, string lights, wood, earth tones, flower arrangements, country, romantic, vintage, barn, farm + ranch",,"""Chandeliers"" are technically part of our lighting category, which this doesn't give off light, but rather a decorative accent",https://www.theknot.com/real-weddings/greenery-chandelier-photo-2,https://apis.xogrp.com/media-api/images/08ab086f-84de-11e6-b1e3-0e6345a2d5d3~rs_729.h,
,Eco-Friendly Succulent Centerpieces,"Looking for an organic arrangement that would echo the California environment, Brad and Michael turned to succulents. ""Since California was in the fourth year of a drought, we decided to use as many succulents as possible,"" Brad says. The couple also noted that succulents could be taken home and reused.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDY3MDQy,"Primarily rustic by the nature of the flowers. This is more about being an eco, natural centerpiece. It could belong to an eclectic, romantic, even modern or classic style. The vessel also helps to upgrade it to more of a modern twist ",3:  Centerpieces   Reception   Succulents,Stephanie Cain,"""additional_terms"" : [
		""succulent"",
		""noted"",
		""california""
	],
	""concepts"" : [
		""succulents"",
		""eco-friendly"",
		""centerpieces"",
		""organic""
	]
","centerpieces, short centerpieces, natural, modern, green, greens, succulents, eco-friendly","affordable, gray, linens, gardenias, white, vases, plants, bohemian, natural, ","rustic, vintage",,https://www.theknot.com/real-weddings/eco-friendly-succulent-centerpieces-photo?page=1,https://apis.xogrp.com/media-api/images/f1cc6c18-5817-11e6-b1e3-0e6345a2d5d3~rs_729.h,
,Bohemian Fern and Burgundy Dahlia Bouquet,"Designed by Stoneblossom Floral and Event Design, the wedding’s flowers stole the show. For her walk down the aisle, Tryn carried a loosely tied bouquet of ferns, vines, fresh berries and full blooms, such as dahlias, ranunculus and scabiosa in vibrant shades of red and burgundy.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDY0NDcw,"Boho + Rustic: this bouquet could still belong to a romantic or even modern bride. With so many types of flowers, the blooms identified would likely help as primary tags. This is also a very natural, eco bouquet. ",5:  Burgundy   Bouquets   Bohemian   Ranunculus  Ferns,Libby McCarthy,"""additional_terms"" : [
                ""dahlia"",
                ""carried"",
                ""tied"",
                ""fresh"",
                ""full blooms"",
                ""vibrant shades"",
                ""floral"",
                ""event""
        ],
        ""concepts"" : [
                ""ferns"",
                ""burgundy"",
                ""dahlias"",
                ""bouquets"",
                ""fruit"",
                ""bohemian"",
                ""ranunculus"",
                ""scabiosa"",
                ""red""
        ]
","bohemian, rustic, red, bouquets, burgandy","elegant, natural, earth tones, green, greens, country, glamorous, romantic, ferns, fruit, dahlias, ranunculus, scabiosa, Chrysanthemums, lace, thistle","fall, winter",,https://www.theknot.com/real-weddings/bohemian-fern-and-burgundy-dahlia-bouquet-photo?context=bohemian-wedding-bar-drinks-photos&page=1&wedding-categories=wedding-bouquets,https://apis.xogrp.com/media-api/images/69ceebba-4dd0-11e6-af22-0e6345a2d5d3~rs_729.h,
,DIY Comic Book Bouquet,"After seeing beautiful paper flowers on Etsy, Jess created her own bouquet from comic book pages from one of her favorite comics, ""Saga."" She also created more than 400 flowers for the centerpieces, as well as bouquets and boutonnieres for the bridal party (thoughtfully crafted from their favorite comics). ""The flowers were not only well-received by our attendees but also cost effective.""",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDYyMjg4,"Eclectic + DIY+ personalized. This hits a nerdy, alternative vibe some couples love since the bouquet is made of comic book pages. We're missing the cost-effective tag here  ",3:  DIY   Bouquets   Flower Alternatives,Chrissy Sorenson,"        ""additional_terms"" : [
                ""bouquet"",
                ""flowers"",
                ""created"",
                ""beautiful"",
                ""favorite""
        ],
        ""concepts"" : [
                ""bouquets"",
                ""wedding costs"",
                ""boutonnieres"",
                ""diy"",
                ""centerpieces"",
                ""book""
        ]
","bouquets, DIY, colorful, brights, flower alternatives, paper flowers, eclectic","affordable, book, artistic, bouquet wraps, personalized, alternative, modern, retro, whimsical",,,https://www.theknot.com/real-weddings/diy-comic-book-bouquet-photo,https://apis.xogrp.com/media-api/images/bdce4808-4472-11e6-af22-0e6345a2d5d3~rs_729.h,
,Fuchsia Dahlia and Rose Centerpieces,"“I didn’t want to overpower the venue’s natural look, so we kept the centerpieces simple with gold vessels and alternated between large and small arrangements,” Lindsay says. Heavenly Blooms knocked it out of the park, creating wildly romantic bouquets of dahlias, roses, eucalyptus, ferns and thistles displayed atop gold footed bowls.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NTAzNzkw,"Romantic + Rustic primarily. Feels very summery too. This centerpiece could still fit in with a modern, classic, eclecic, or boho wedding - very versatile! So is it better to omit images like this so that we stick to styles that are more specific?", 5: Fuchsia   Centerpieces   Reception   Dahlias   Roses,Libby MacCarthy,"	""additional_terms"" : [
		""dahlia"",
		""blooms"",
		""arrangements"",
		""large"",
		""small"",
		""displayed"",
		""creating""
	],
	""concepts"" : [
		""dahlias"",
		""centerpieces"",
		""ferns"",
		""thistles"",
		""eucalyptus"",
		""fuchsia"",
		""park"",
		""roses"",
		""bouquets"",
		""natural"",
		""gold"",
		""simple"",
		""romantic""
	]
","centerpieces, short centerpieces, romantic, jewel tones, dahlias, pink, red"," brights, casual, elegant, gold, burgandy, roses, eucalyptus, ferns, thistles, pedestal, fuchsia, astibiles","bohemain, glamorous, nautical, preppy, whimsical, eclectic",,https://www.theknot.com/real-weddings/fuchsia-dahlia-and-rose-centerpieces-photo?page=1,https://apis.xogrp.com/media-api/images/abacf764-ed81-11e6-b589-12072ec58d1a~rs_729.h,
,Elegant High and Low Centerpieces With White Blossoms,"At the reception, which took place at the Rosewood Mayakoba in Riviera Maya, Quintana Roo, Mexico, Vanessa Jaimes Floral Design created high and low centerpieces with white blossoms and subtle greenery.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NTAyNDM3,"Classic + Glam; romantic could be a 2ndary category. White roses are about as classic as it gets, the mixture of high/low along with mirrored vessels glam it up. This is from a beach wedding, though it isn't obvious, so secondary tags could be nautical, destination, beach, waterfront, etc.",3:  Ivory   Centerpieces   Roses,Carolyn Meers,"""additional_terms"" : [
                ""design"",
                ""floral"",
                ""created"",
                ""place"",
                ""vanessa"",
                ""subtle""
        ],
        ""concepts"" : [
                ""centerpieces"",
                ""leaves"",
                ""elegant"",
                ""reception"",
                ""white""
        ]
","centerpieces, tall centerpieces, short centerpieces, ivory, classic, elegant, roses, ","formal, luxury, mirrored, stock, Amaranthus, metallics, white, glamorous, natural, neutrals, traditional",,,https://www.theknot.com/real-weddings/elegant-high-and-low-centerpieces-with-white-blossoms-photo,https://apis.xogrp.com/media-api/images/c76d60f5-e8f2-11e6-b589-12072ec58d1a~rs_729.h,
,Mostly White Bridal Bouquet,"The bride's bouquet consisted of a soft and romantic palette of blush and white with orchids, silver brunias and dusty miller for contrast. “I told my florist what I wanted, and she was able to create exactly what I was looking for,” Anne says.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NTAwNzA3,"Classic + Romantic + Glam; could also really belong to any other category. However there's value in searching the different flowers that can make up a white bouquet. Someone that favorites this may be more inclined to a refined, cleaner style. ",5: White   Bouquets   Orchids   Dusty Miller  Eucalyptus,Chrissy Sorenson,"        ""additional_terms"" : [
                ""anne"",
                ""bride's"",
                ""florist"",
                ""create"",
                ""soft""
        ],
        ""concepts"" : [
                ""dusty miller"",
                ""orchids"",
                ""bouquets"",
                ""silver"",
                ""blush"",
                ""white"",
                ""romantic""
        ]
","white, bouquets, romantic, hydrangeas, dahlia, roses, greenery","elegant, neutrals, ivory, blush, sage, dusty miller","rustic, southern, vintage","Oddly, the main florals depicted from the bride's quote aren't evident in the image - removing the flowers identified in the caption",https://www.theknot.com/real-weddings/mostly-white-bridal-bouquet-photo,https://apis.xogrp.com/media-api/images/f4bde076-e400-11e6-b589-12072ec58d1a~rs_729.h,
,Plum and Blush Table Arrangements,"“Our florist, Heidi from On a Limb, did an amazing job with the bouquets, boutonnieres and centerpieces,” Mary says. The couple enhanced their green, gray and blush color scheme by incorporating deep plum blooms in their table arrangements.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDk5NDM0,"Missing style tags: romantic primarily; also could work with eclecitc, rustic, even boho", 4: Flower Arrangements   Centerpieces   Baby's Breath  Ranunculus,Marissa Hermanson," all-white (27)   arrangement (6)   arrangements of hydrangea (17)   bloom (16) Bouquets,   cake (4) Candles Centerpieces   cover (21) Decorations + Accents Glassware   hydrangea (1) Ivory Linens   matt's (31)   orchid (100)   orchids serve (21) Pedestals Pink Purple   serve (1) Tables Vases White   white hydrangea (24)   whitney (32)                    ""additional_terms"" : [
                ""deep"",
                ""blooms"",
                ""color scheme"",
                ""incorporating"",
                ""florist"",
                ""amazing""
        ],
        ""concepts"" : [
                ""plum"",
                ""blush"",
                ""boutonnieres"",
                ""color"",
                ""gray"",
                ""bouquets"",
                ""centerpieces"",
                ""green"",
                ""greens"",
                ""tables""
        ]
","romantic, vintage, eclectic, short centerpieces, centerpieces, brights, white, pink, red,Queen Anne's Lace, Ranunculus, 
","elegant, brights, green, dusty miller, ferns, Hyacinths, preppy, whimsical,       Lisianthus, wood",,,https://www.theknot.com/real-weddings/plum-and-blush-table-arrangements-photo,https://apis.xogrp.com/media-api/images/171c8f68-0b3c-11e6-b8ed-22000aa61a3e~rs_729.h,
,White Garden Rose and Hydrangea Bouquets,n/a,http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDk0MzQw,"Very romantic and classic - this is probably the most average combo we see, but we know it's popular and desired for many of our bouquet looks",0 - none,Jen Leahy,"	""additional_terms"" : [
		""hydrangea""
	],
	""concepts"" : [
		""hydrangeas"",
		""garden roses"",
		""bouquets"",
		""white"",
		""roses"",
		""garden""
	]","bouquets, white, blush, peach, romantic, garden roses"," bridesmaids, bride, Astilbes, hydrangea, traditional, classic, preppy, southern",,,https://www.theknot.com/real-weddings/white-garden-rose-and-hydrangea-bouquets-photo,https://apis.xogrp.com/media-api/images/ca0c3d18-331e-11e5-9816-22000aa61a3e~rs_729.h,
,Orange and White Bridal Bouquet,Mimsy's bright orange and white bouquet showed hints of yellow and greens. She specifically requested orange lilies (in the bouquet) and hydrangeas (in the chuppah and centerpieces).,http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDkwMjg3,"Belongs to modern for the pops of bold color; but secondary could be eclectic. Boho could be an option too, though the dress throws off the boho vibe and pushes it more towards modern.",4:  Orange   Bouquets   Lilies   Peonies,Chrissy Sorenson,"        ""additional_terms"" : [
                ""bouquet""
        ],
        ""concepts"" : [
                ""orange"",
                ""bouquets"",
                ""lilies"",
                ""chuppah"",
                ""yellow"",
                ""hydrangeas"",
                ""colorful"",
                ""brights"",
                ""centerpieces"",
                ""green"",
                ""greens"",
                ""white""
        ]
","bouquets, white, orange, yellow, modern, poppies, ranunculus, peonies","colorful, color, ruffles, burnt orange, eclectic, whimsical, spring, calla lillies, lilies, greenery",,,https://www.theknot.com/real-weddings/orange-and-white-bridal-bouquet-photo-9,https://apis.xogrp.com/media-api/images/1114550c-bc97-11e6-b1e3-0e6345a2d5d3~rs_729.h,
