Image,Title,Body Copy,TBL Studio Link,Editorial Feedback,Published tags,Writer,Auto-Extracted Concepts,Suggested Revision Front End Tags,Suggested Revision Back End Tags,Other Related ,Notes,url_slug,Image Location,TBL Image S3 Location
,Elegant Place Setting for Alfresco Reception,"Silver-beaded chargers, china, classic flatware and bunches of succulents and gardenias greeted guests as they arrived to the feasting table.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDY3MDQy,"This vibe feels more natural, rustic, clean, eco style - which we have tagged it as modern, but our user with a modern taste might not feel the same","11:  Elegant, Gray, Silver,   White,   Centerpieces,  Menus,   Dinnerware,   Flatware,   Linens,   Modern,  Succulents",Stephanie Cain,"""additional_terms"" : [
		""linens"",
		""centerpieces"",
		""colorful"",
		""decorations + accents"",
		""gold"",
		""green"",
		""greens"",
		""hydrangeas"",
		""roses"",
		""white""
	],
	""concepts"" : [
		""classic"",
		""elegant"",
		""flatware"",
		""reception"",
		""guests"",
		""gardenias"",
		""succulents"",
		""tables""
	]","tablescape, elegant, neutrals, natural,, modern, rustic, silver, formal, rosemary, ","glassware, dinnerware, flatware, escort and place cards, calligraphy, greens, gardenia, candles, succulents, linens, gray, white, linens, bells of ireland, stock, roses, freesia",,,https://www.theknot.com/real-weddings/elegant-place-setting-for-alfresco-reception-photo,https://apis.xogrp.com/media-api/images/de7c3f8a-5817-11e6-b1e3-0e6345a2d5d3~rs_729.h,
,Lavender-Trimmed Place Cards,"Guests found their seats with the help of hand-lettered place cards laid carefully on each plate. Ivory paper bearing gold script and subtly torn edges mirrored the evening’s laid-back feel, while sprigs of lavender tied with velvet green ribbon added freshness and vibrancy to the place settings.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDY0NDcw,"Classic, rustic, fall wedding photo. Also romantic, this is from a wedding we tagged as boho. With the fruit in the centerpiece, this could also appeal to a foodie, farm couple. Note: the leaf/lavendar on the place setting could turn off some viewers, some will love it.",3:  Lavender   Escort + Place Cards   Reception,Libby McCarthy,"        ""additional_terms"" : [
                ""place cards"",
                ""hand-lettered""
        ],
        ""concepts"" : [
                ""dinnerware"",
                ""lavender"",
                ""ribbon"",
                ""green"",
                ""greens"",
                ""guests"",
                ""gold"",
                ""ivory""
        ]","tablescape, natural, neutrals, rustic, royal blue, fall, lamb's ear, calligraphy, centerpieces, rustic","dinnerware, flatware, glassware, escort and place cards, silver, taupe, fruit, lavender flowers, hypericum, bohemian, burnt orange, linens, fern, velvet, ribbon",,,https://www.theknot.com/real-weddings/lavender-trimmed-place-cards-photo,https://apis.xogrp.com/media-api/images/b8ca5db3-4dd2-11e6-af22-0e6345a2d5d3~rs_729.h,
,Tropical and Hawaiian Table Accents,"""The centerpieces were a combination of floral arrangements and whitewashed lanterns,"" Kelley says. ""We used pineapples as place cards and had individual menus at each seat. The table markers were simple calligraphy numbers leveraging the Hawaiian alphabet.""",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDYzMzI3,"An example of tough to classify this photo as one clear style, other than primarily tropical. The setup could appeal to modern, romantic, eclectic, or even rustic couples. If it had to hit one of the 7 style categories, I'd say eclectic, but tripic is a better one-hitter term. Budget friendly too",3:  Fruit   Centerpieces   Reception,Caroline Eubanks,"	""additional_terms"" : [
		""seat"",
		""floral arrangements"",
		""accents"",
		""place cards"",
		""numbers""
	],
	""concepts"" : [
		""hawaiian"",
		""calligraphy"",
		""tropical"",
		""lanterns"",
		""menus"",
		""decorations + accents"",
		""centerpieces"",
		""tables"",
		""simple""
	]
","tablescape, tropical, pink, pineapple, fruit,colorful, causal, bohemian, rustic ","glassware, protea, roses, escort + place cards, ribbon, simple, affordable, dahlia, red, pink, wood",,,https://www.theknot.com/real-weddings/tropical-and-hawaiian-table-accents-photo,https://apis.xogrp.com/media-api/images/2fbde555-48b2-11e6-af22-0e6345a2d5d3~rs_729.h,
,Blue Hydrangea and Crystal Centerpieces,"Ken and Pat created three centerpieces for the reception at Westwood Country Club in Austin, Texas, creating a textured, visually intriguing aesthetic. Bundles of brilliant blue hydrangeas were piled high atop gilded candelabras and surrounded by cascades of glittering crystal beads to achieve a refined look.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NTA0NzAy,"An example of confusing styles, but different items will appeal to certain couples: the crystals and linens give it a glam vibe; but hydrangea lend more of a classic style. Would classify as classic + glam. This is from Great Gasby-themed wedding, which we know is still popular amongst our couples",4:  Blue   Centerpieces   Reception   Hydrangeas,Libby MacCarthy,"       ""additional_terms"" : [
		""created"",
		""cascades"",
		""surrounded"",
		""aesthetic"",
		""achieve"",
		""texas""
	],
	""concepts"" : [
		""hydrangeas"",
		""centerpieces"",
		""blue"",
		""refined"",
		""candelabras"",
		""textured"",
		""country club"",
		""reception"",
		""country""
	]
","tablescape, glamorous, hydrangea, tall centerpiece, centerpiece, crystals, metallics , blue, navy","dinnerware, flatware, glassware, chiavari charis, pedestals, gold, garden, ",,,https://www.theknot.com/real-weddings/a-glam-roaring-twenties-wedding-at-westwood-country-club-in-austin-texas-album,https://apis.xogrp.com/media-api/images/c7774d2b-eff7-11e6-b589-12072ec58d1a~rs_729.h,
,"Reception, Potted Succulents and Handcrafted Name Flags","""Place cards for guests were potted succulents in hand-painted pots and little watercolored and hand-lettered flags, which were also designed to be gifts to the guests,"" Devin says.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDk4NTgx,"DIY + eclectic - this actually feels more whimsical than ""eclectic."" Also good for budgetary and colorful; would pair well with a garden wedding, rustic setting ",4:  Wedding Favors   Escort + Place Cards   DIY   Succulents,Carolyn Meers,"        ""additional_terms"" : [
                ""designed""
        ],
        ""concepts"" : [
                ""succulents"",
                ""guests"",
                ""reception""
        ]
","wedding favors, escort + place cards, succulents, DIY, whimsical, eclectic","garden rose, stock, fuschia, earth tones, simple, affordable, casual ",,,https://www.theknot.com/real-weddings/reception-potted-succulents-and-handcrafted-name-flags-photo,https://apis.xogrp.com/media-api/images/54d90937-8048-11e6-b1e3-0e6345a2d5d3~rs_729.h,
,Mint Macaron With Gold Flag Place Card,n/a,http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDk0MzQw,"Romantic - especially with the macaroon place setting; also classic, southern, beachy",0 - none,Jen Leahy,"""concepts"" : [
                ""mint"",
                ""gold""
        ]
","color, tablescape, escort + place cards, DIY, macaroon, romantic, centerpiece, southern, peach","hydrangea, garden roses, roses, astibille, linens, gold, sweet peas, mint, ivory, blush, lilies, monogram, lamb's ear",,,https://www.theknot.com/real-weddings/mint-macaron-with-gold-flag-place-card-photo,https://apis.xogrp.com/media-api/images/b4f55008-331f-11e5-9816-22000aa61a3e~rs_729.h,
,Citrus Centerpieces at Outdoor Reception,"Lush greens and petite oranges served as centerpieces at the garden-inspired outdoor reception at Rancho Valencia in Rancho Santa Fe, California.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDkyNjUw,"Eclectic + Rustic, though this also shift opinions according to the viewer. Also natural; place setting should be applied to this image",4 : Fruit   Centerpieces   Reception   Eucalyptus,Carolyn Meers,"       ""additional_terms"" : [
		""santa"",
		""california"",
		""outdoor"",
		""garden-inspired"",
		""served"",
		""lush""
	],
	""concepts"" : [
		""centerpieces"",
		""orange"",
		""reception"",
		""green"",
		""greens""
	]
","dinnerward, greens, rustic, eclectic, fruit, natural, elegant","linens, flatware, glassware, candles, ribbon, garden, roses, peach, euctalyptus, bohemian, ",,,https://www.theknot.com/real-weddings/citrus-centerpieces-at-outdoor-reception-photo,https://apis.xogrp.com/media-api/images/08d8b0da-1c4a-11e5-be0a-22000aa61a3e~rs_729.h,
,White Hydrangea and Orchid Centerpiece,"All-white arrangements of hydrangeas and phalaenopsis orchids served as centerpieces, while the same blooms were used to cover Whitney and Matt's cake pedestal.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDEwODQx,Modern & Glam are appropriately tagged, 6: Ivory   Decorations + Accents   Centerpieces   Glamorous  Modern   Orchids,Rachel Sylvester," all-white (27)   arrangement (6)   arrangements of hydrangea (17)   bloom (16) Bouquets,   cake (4) Candles Centerpieces   cover (21) Decorations + Accents Glassware   hydrangea (1) Ivory Linens   matt's (31)   orchid (100)   orchids serve (21) Pedestals Pink Purple   serve (1) Tables Vases White   white hydrangea (24)   whitney (32)        
        ""additional_terms"" : [
		""hydrangea"",
		""orchid"",
		""cover"",
		""blooms"",
		""arrangements"",
		""cake""
	],
	""concepts"" : [
		""orchids"",
		""hydrangeas"",
		""centerpieces"",
		""pedestals"",
		""white""
	]
","modern, white, gray, silver, tablescape, centerpiece, orchids, hydrangea","candles, pedestal, cala lilies, menus, monogram, neutrals, glamorous, luxury, creative",,,https://www.theknot.com/real-weddings/white-hydrangea-and-orchid-centerpiece-photo-2,https://apis.xogrp.com/media-api/images/a807ae82-83dc-11e5-9816-22000aa61a3e~rs_729.h,
,"Blush Dahlia, Rose and Hydrangea Centerpieces","Shades of soft blush dominated the reception decor, the romantic hue materializing in lush arrangements of dahlias, roses and hydrangeas displayed in shimmering mercury-glass vases. While the centerpieces were essential in bringing Mia and Jake’s vision to life, it was a wisteria ceiling installment over the dance floor that truly stole the show.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDQyNjQ3,,3:  Centerpieces   Reception   Dahlias,Libby MacCarthy,"""additional_terms"" : [
		""ceiling"",
		""shades"",
		""soft"",
		""displayed"",
		""bringing"",
		""decor""
	],
	""concepts"" : [
		""dahlias"",
		""blush"",
		""hydrangeas"",
		""centerpieces"",
		""vases"",
		""dance floor"",
		""roses"",
		""reception"",
		""romantic"",
		""dancing""
	]
","traditional, classic, romantic, pastels, centerpieces, tablescape, blush","dahlia, chrystanthmum, roses, hydrangea, gold, vases, preppy, southern, dinnerware, flatware, vintage, formal",,,https://www.theknot.com/real-weddings/blush-dahlia-rose-and-hydrangea-centerpieces-photo,https://apis.xogrp.com/media-api/images/f5f6cc82-f5be-11e5-b1c6-22000aa61a3e~rs_729.h,
,Romantic Floral Dinnerware,"While the centerpieces themselves were noteworthy enough, silvery linens, colored glasses, floral china and plenty of candlelight upped the drama of each tablescape.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDA1ODY4,,6:  Luxury   Glamorous   Whimsical   Hotel   Summer  Brights,n/a,"	""additional_terms"" : [
		""glasses"",
		""floral""
	],
	""concepts"" : [
		""dinnerware"",
		""glassware"",
		""linens"",
		""centerpieces"",
		""color"",
		""romantic""
	]

","formal, luxury, tablescape, colorful, glamorous, centerpieces, vintage, eclectic","metallics, peonies, roses, hydrangea, zinnia, scabiosa, delphium, candles,gold, mirrored, menus, stemware, linens, dinnerware, flatware, glassware",,,https://www.theknot.com/real-weddings/romantic-floral-dinnerware-photo,https://apis.xogrp.com/media-api/images/cb6c07c0-7733-11e5-9816-22000aa61a3e~rs_729.h,
